curve_id	parameter	family	family_frame_class	leave_one_family_out_group	snapshot_rank_lower_bound	rank_jump_lower_bound_over_generic_17	recognized_public_hit_count_in_family	historical_search_exposure	search_exposure_status	displayed_exceptional_quotient_dimension	quotient_audit_source	fixed_native_cover_inventory_size	fixed_native_rational_split_count	fixed_native_geometric_visibility_rank	fixed_native_visibility_span_primitive	norm8_fitted_genus_one_incidence_directions	norm8_incidence_status	local_prime_block_scores_units_1e12	local_total_nagao_score_units_1e12	local_good_prime_count	local_bad_reduction_prime_count	bad_prime_count	conductor_decimal_digits
393	468216440440228603200/743386878825686635399	norm12-orbit-0e80b	published-R17	norm12-orbit-0e80b	26	9	2		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	9	new native exact audit	39120	3	2	True		not run in this audit	5153837515488,3741394074768,4817289668881	13712521259137	22	1	13	108
394	-403191303057949987902258000/3083697957482654407130078033	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5768689337257,4254054246667,4747742247554	14770485831478	24	1	12	73
395	-205030389514850913908989849692/84586289990466564607930545463	norm12-orbit-11952	alternate-Q80	norm12-orbit-11952	28	11	2		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	11	new native exact audit	39147	2	2	True		not run in this audit	5695781890027,5069491609870,4756292079270	15521565579167	24	0	14	130
396	-16495471350955959013922382000/272083989605379565880507240369	norm12-orbit-08234	published-R17	norm12-orbit-08234	25	8	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4371259558818,4029900771994,4863298644310	13264458975122	23	2	11	104
397	-1315074624325880386403022000/26445671958688287471332197877	norm12-orbit-08234	published-R17	norm12-orbit-08234	22	5	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5489819043700,4266448052323,5344580032006	15100847128029	24	1	10	84
404	1702629224691278400/36284252925887798539	norm12-orbit-0e80b	published-R17	norm12-orbit-0e80b	27	10	2		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters	10	new native exact audit	39120	1	1	True		not run in this audit	5507245388829,4273320098000,5220322429962	15000887916791	23	0	11	135
412	5116147941324926097204662000/108553076024617021984667171963	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5710130994404,4665787382645,4332260743275	14708179120324	25	0	12	78
413	2745932205572884766876886000/30771973800710309768814369259	norm12-orbit-08234	published-R17	norm12-orbit-08234	24	7	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5502722985163,5112981617539,5072804450143	15688509052845	24	1	10	92
414	-457762841522720189192203614000/8619686979413978720886739575889	norm12-orbit-08234	published-R17	norm12-orbit-08234	25	8	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6791987694707,4151628765508,4999166775537	15942783235752	24	1	10	107
416	329675622631793200611493834000/12473684893072118820044685712901	norm12-orbit-08234	published-R17	norm12-orbit-08234	27	10	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5122484567010,4896280425776,5380828198200	15399593190986	23	2	15	142
417	78710579614331550717557586000/389676215625730197039450595619	norm12-orbit-08234	published-R17	norm12-orbit-08234	26	9	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5806182370244,5245765812211,4709002498238	15760950680693	24	1	11	121
418	471947015220775925908478394000/9600802148680421327667456558941	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	3471993553745,4793815244747,4672346622904	12938155421396	22	3	13	125
419	17561518495504281149374446000/25936802910207488324168436679	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5608746893839,4515735849163,5495550670825	15620033413827	24	1	14	69
420	5643327723868646466105066000/24332615403188437069182433813	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5460458877443,4998450217606,4419686488901	14878595583950	25	0	11	70
421	2090720669960560496037074000/37426781906573937241270207201	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4683244564297,4547686811618,4043209359393	13274140735308	23	2	13	72
422	792427946812204441634322000/33240771325917788765001409913	norm12-orbit-08234	published-R17	norm12-orbit-08234	18	1	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6077334107009,5500999911124,4028304516950	15606638535083	24	1	14	63
423	6170071402911327039657000906000/47296218242575125682231168628149	norm12-orbit-08234	published-R17	norm12-orbit-08234	28	11	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	2729721016155,3899998454630,5320402209052	11950121679837	21	4	19	131
427	851222168320107999403438800/3971978353812537876442058849	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6165602701277,3728133641101,4679623910879	14573360253257	24	1	9	74
428	-1061553873760534801152982000/2714451171580656582150425901	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5028781941340,5856302563656,5078303807136	15963388312132	23	2	14	78
429	-709979652021088918565922000/2094537923012537130203547167	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6452650636634,4881211598063,4581529513755	15915391748452	25	0	12	70
430	46309830168179021183099262000/364114662991888799541421970543	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5898797898154,4617118176933,4771389234757	15287305309844	23	2	15	70
431	241098160269751870586578000/31463150394406273658640687777	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5672639819676,4883034103826,4827544622440	15383218545942	24	1	11	73
432	17099112868081578993011822000/24445895032165572428511056823	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6821765443906,4272893544267,5162319496860	16256978485033	25	0	13	79
433	-3880971100300964367055974000/140915765313570293440972260469	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5800315749282,4028692170985,3701964638488	13530972558755	23	2	11	82
434	-33646761989714848698013626000/229058385912178612435943246851	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6232956577766,4534922491032,4756952312726	15524831381524	25	0	13	79
435	20798357887463196243912814000/36373158056500899593770095671	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5507601462248,5372347708836,3988943907576	14868893078660	24	1	11	87
436	56403591199011262283834862000/151173064665728423559388344583	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6626414893312,5434869188213,4110835936084	16172120017609	25	0	11	79
437	1963810295609569765626114000/1948116130908811740713578981	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4884695782804,4789749806546,4835120456257	14509566045607	23	2	12	81
438	-13591489276177709650671078000/109606699874690059632167283493	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	7038652780079,4768820698437,4925939835371	16733413313887	25	0	10	81
439	-22932269786525492762431146000/509090838750225203722558966331	norm12-orbit-08234	published-R17	norm12-orbit-08234	21	4	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5462758362796,4354751280931,4917122976281	14734632620008	24	1	10	85
440	17972575488747984558799506000/88633733256244356272887138409	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4084180076005,3635382846741,3332119708711	11051682631457	22	3	15	78
441	-430381695193975039113952794000/1404752068112507557772681746259	norm12-orbit-08234	published-R17	norm12-orbit-08234	23	6	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5509180801012,4572352471380,4112637876119	14194171148511	25	0	12	116
442	841551664536210085969310822946000/690835445324376098487926182639729	norm12-orbit-08234	published-R17	norm12-orbit-08234	19	2	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	3701207239680,5204459393415,5013603925729	13919270558824	22	3	12	169
443	-146665734108130810782400220106000/24163723437049785268884362302003751	norm12-orbit-08234	published-R17	norm12-orbit-08234	19	2	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5548795685687,3848750293783,5492276120972	14889822100442	24	1	12	224
445	-6004205051810556038138922000/2559409339301747435605488907	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5436921258692,4872629459303,4917350874705	15226901592700	24	1	13	73
446	-1270201854475516531082178000/288245686154062102772490803	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5574810155197,4101042359537,4686598172683	14362450687417	24	1	11	81
447	-28157266539992827576093734000/62643101716369708918959818029	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5518600258159,4139564071612,3755469942006	13413634271777	24	1	12	77
448	-1367819033131946630498907000/10932715464755720040173152477	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6114857199531,4708906044061,4238314090948	15062077334540	24	1	16	76
449	-11953278887081450518591362000/176260270358607396688592108687	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	3888165396345,4977213695577,4752237217024	13617616308946	22	3	11	74
450	-169522540456281340918191000/2521997365510575084557540963	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6109759326254,4734586640585,3938121859542	14782467826381	25	0	8	81
451	-2242760711204705234976258000/207569335797487630497397085663	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6908810253987,4622946772428,4637358576465	16169115602880	25	0	12	77
452	-104925320616578390614722000/2041409761150913095300468111	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4888537701714,4765997588136,4403296166130	14057831455980	24	1	12	79
453	-179025043034040387101890000/17834254722014423068224246767	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4259316215207,4544867856533,3833402422991	12637586494731	23	2	13	83
454	4693323700135827110463102000/229932953968116368932257783503	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5653163741109,4953007572826,4452688953916	15058860267851	24	1	9	74
455	7177182571610284216025938000/53826768565035012093501385617	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4997852406632,4558266273820,4150013491148	13706132171600	24	1	12	76
456	36539939912951871145052562000/148499418820696671467745006473	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4185537623876,4066275274851,4531709089806	12783521988533	23	2	11	78
457	10435554135462138215884400/3715941732207076203210587339	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5356820299477,5576507899250,4626875470211	15560203668938	24	1	13	85
458	11589826725242756286281398000/129425786317203844523870489947	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	6100363170024,4556498695720,4223703312922	14880565178666	24	1	10	81
459	9475705519297261352573598000/736325176034700579261823547647	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5685230539054,4853519854833,4937082311830	15475832705717	25	0	13	84
462	44863241206560509959579794000/175335760625451157589577843881	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5346840282863,4826846987260,4079545249303	14253232519426	24	1	11	78
463	539604179986699764496917000/17082710461678623109759844383	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5209265858717,3979531556866,4443073914005	13631871329588	23	2	12	75
464	-23698755496436484396672138000/997592166280306423304236172203	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	4335995377647,4725931747985,5455146805068	14517073930700	22	3	15	80
465	1796904531436436588560455600/14385677574310522074177993239	norm12-orbit-08234	published-R17	norm12-orbit-08234	20	3	54		UNKNOWN: public hit count is a selection/effort proxy, not a denominator of searched parameters		UNKNOWN: saturated chart-specific section transport not yet compiled						not run in this audit	5710805281875,4388523843269,4572531958736	14671861083880	24	1	13	75
